"","SNP","rsID","CHR","QTL_type","start_pos","end_pos","QTL_ID"
"1","ARS-BFGL-BAC-28665","rs111010562",24,"Meat_and_Carcass",28473214,28473218,"232857"
"2","Hapmap54981-rs29019846","rs29019846",24,"Meat_and_Carcass",28473214,28473218,"232857"
"3","BTB-01485274","rs42609685",24,"Health",28570243,28570247,"57038"
"4","Hapmap58887-rs29013502","rs29013502",24,"Health",28570243,28570247,"57038"
"5","BTB-01646599","rs42761380",24,"Health",28570243,28570247,"57038"
"6","BTB-01485274","rs42609685",24,"Health",28570243,28570247,"57040"
"7","Hapmap58887-rs29013502","rs29013502",24,"Health",28570243,28570247,"57040"
"8","BTB-01646599","rs42761380",24,"Health",28570243,28570247,"57040"
"9","BTB-01485274","rs42609685",24,"Production",28570243,28570247,"69281"
"10","Hapmap58887-rs29013502","rs29013502",24,"Production",28570243,28570247,"69281"
"11","BTB-01646599","rs42761380",24,"Production",28570243,28570247,"69281"
"12","Hapmap58887-rs29013502","rs29013502",24,"Reproduction",28604670,28604674,"138598"
"13","BTB-01646599","rs42761380",24,"Reproduction",28604670,28604674,"138598"
"14","ARS-BFGL-BAC-35548","rs110100182",2,"Production",115695001,115695005,"283322"
"15","BTA-49096-no-rs","rs41578131",2,"Production",115695001,115695005,"283322"
"16","ARS-BFGL-NGS-30337","rs110485060",2,"Production",115695001,115695005,"283322"
"17","ARS-BFGL-NGS-103753","rs110842922",2,"Milk",115820324,115820328,"215425"
"18","ARS-BFGL-NGS-103753","rs110842922",2,"Exterior",115839213,115839217,"125900"
"19","Hapmap54770-rs29009608","rs29009608",2,"Exterior",115839213,115839217,"125900"
"20","Hapmap54770-rs29009608","rs29009608",2,"Milk",115909335,115909339,"155904"
"21","Hapmap54770-rs29009608","rs29009608",2,"Milk",115909359,115909363,"155914"
"22","ARS-BFGL-NGS-43721","rs108974471",2,"Production",115986083,115986087,"39013"
"23","ARS-BFGL-NGS-107330","rs109766798",2,"Production",115986083,115986087,"39013"
"24","ARS-BFGL-NGS-43721","rs108974471",2,"Reproduction",115986083,115986087,"39014"
"25","ARS-BFGL-NGS-107330","rs109766798",2,"Reproduction",115986083,115986087,"39014"
"26","ARS-BFGL-NGS-43721","rs108974471",2,"Exterior",115986083,115986087,"39015"
